time(s),preprocessor,alamAPI_API,alamAPI_DB
876,0.03,0.23,0.27
877,0.08,0.23,0.39
878,0.04,0.24,0.4
879,0.04,0.32,0.47
880,0.03,0.23,0.47
881,0.03,0.19,0.31
882,0.14,0.25,0.5
883,0.04,0.28,0.47
884,0.04,0.25,0.48
885,0.05,0.26,0.29
886,0.03,0.24,0.25
887,0.03,0.4,0.55
888,0.04,0.19,0.31
889,0.03,0.15,0.43
890,0.2,0.3,0.52
891,0.03,0.22,0.2
892,0.05,0.21,0.44
893,0.04,0.18,0.25
894,0.07,0.25,0.22
895,0.04,0.36,0.25
896,0.06,0.25,0.31
897,0.04,0.2,0.26
898,0.06,0.33,0.25
899,0.03,0.16,0.48
900,0.05,0.21,0.49
901,0.16,0.18,0.33
902,0.04,0.24,0.48
903,0.04,0.28,0.33
904,0.05,0.23,0.25
905,0.03,0.21,0.39
906,0.04,0.32,0.46
907,0.03,0.28,0.5
908,0.03,0.18,0.27
909,0.14,0.16,0.48
910,0.06,0.19,0.25
911,0.03,0.23,0.34
912,0.03,0.18,0.29
913,0.04,0.18,0.21
914,0.05,0.39,0.28
915,0.04,0.25,0.25
916,0.04,0.22,0.27
917,0.03,0.21,0.61
918,0.04,0.26,0.27
919,0.04,0.23,0.85
920,0.09,0.18,0.33
921,0.05,0.25,0.35
922,0.06,0.31,0.25
923,0.04,0.16,0.45
924,0.04,0.19,1.35
925,0.06,0.33,0.32
926,0.04,0.31,0.28
927,0.03,0.2,0.47
928,0.04,0.2,0.39
929,0.05,0.3,0.47
930,0.05,0.22,0.45
931,0.03,0.16,0.44
932,0.04,0.23,0.43
933,0.06,0.38,0.25
934,0.05,0.29,0.44
935,0.03,0.2,0.62
936,0.08,0.31,0.5
937,0.05,0.27,0.48
938,0.03,0.14,0.17
939,0.1,0.23,0.44
940,0.03,0.29,0.46
941,0.05,0.35,0.46
942,0.04,0.21,0.22
943,0.04,0.25,0.44
944,0.17,0.24,0.53
945,0.06,0.29,0.42
946,0.04,0.2,0.71
947,0.11,0.22,0.44
948,0.06,0.29,0.35
949,0.07,0.3,0.21
950,0.03,0.27,0.24
951,0.04,0.25,0.47
952,0.05,0.33,0.6
953,0.04,0.28,0.45
954,0.04,0.22,1.84
955,0.08,0.21,0.41
956,0.03,0.32,0.36
957,0.05,0.22,0.39
958,0.05,0.29,0.44
959,0.05,0.22,1.12
960,0.04,0.22,0.28
961,0.05,0.22,0.48
962,0.04,0.21,1.72
963,0.07,0.19,0.26
964,0.08,0.23,0.5
965,0.05,0.34,0.41
966,0.04,0.23,0.23
967,0.03,0.25,0.45
968,0.04,0.25,0.28
969,0.05,0.25,0.35
970,0.05,0.29,0.19
971,0.06,0.18,0.44
972,0.05,0.33,0.47
973,0.04,0.24,0.39
974,0.03,0.16,0.44
975,0.04,0.2,0.42
976,0.04,0.34,0.47
977,0.03,0.31,0.32
978,0.04,0.17,1.16
979,0.06,0.27,0.26
980,0.04,0.23,0.47
981,0.04,0.29,1.41
982,0.03,0.17,0.46
983,0.05,0.31,0.5
984,0.04,0.33,0.44
985,0.03,0.31,0.27
986,0.03,0.19,0.35
987,0.05,0.36,0.45
988,0.06,0.27,0.28
989,0.03,0.2,0.26
990,0.06,0.16,0.29
991,0.04,0.27,0.35
